,Graph Mod Id,Graph Score,G1 Graph Score,Sum Graph Score
0,Original Graph,751,2111,2862
128,MBF-to-Cln3 -> 0to1 | Cdh1-to-Cdc2014 -> 0to-1,12377,0,12377
129,MBF-to-Cln3 -> 0to1 | Swi5-to-Cdc2014 -> 0to1,20231,0,20231
130,MBF-to-Cln3 -> 0to1 | Swi5-to-Cdc2014 -> 0to-1,12387,0,12387
131,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-Cdc2014 -> 0to1",12523,0,12523
132,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-Cdc2014 -> 0to-1",12353,0,12353
133,MBF-to-Cln3 -> 0to1 | Sic1-to-Cdc2014 -> 0to1,10977,0,10977
134,MBF-to-Cln3 -> 0to1 | Sic1-to-Cdc2014 -> 0to-1,12435,0,12435
135,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-Cdc2014 -> 1to0",12349,0,12349
136,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-Cdc2014 -> 1to-1",11401,0,11401
137,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-Cdc2014 -> 1to0",12425,0,12425
138,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-Cdc2014 -> 1to-1",11495,0,11495
139,"MBF-to-Cln3 -> 0to1 | Cln3-to-Clb5,6 -> 0to1",12216,0,12216
140,"MBF-to-Cln3 -> 0to1 | Cln3-to-Clb5,6 -> 0to-1",8056,0,8056
141,"MBF-to-Cln3 -> 0to1 | MBF-to-Clb5,6 -> 1to0",7856,0,7856
142,"MBF-to-Cln3 -> 0to1 | MBF-to-Clb5,6 -> 1to-1",7760,0,7760
143,"MBF-to-Cln3 -> 0to1 | SBF-to-Clb5,6 -> 0to1",11495,0,11495
144,"MBF-to-Cln3 -> 0to1 | SBF-to-Clb5,6 -> 0to-1",8247,0,8247
145,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-Clb5,6 -> 0to1",11439,0,11439
146,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-Clb5,6 -> 0to-1",8319,0,8319
147,"MBF-to-Cln3 -> 0to1 | Cdh1-to-Clb5,6 -> 0to1",12045,0,12045
148,"MBF-to-Cln3 -> 0to1 | Cdh1-to-Clb5,6 -> 0to-1",12756,0,12756
149,"MBF-to-Cln3 -> 0to1 | Swi5-to-Clb5,6 -> 0to1",12724,0,12724
150,"MBF-to-Cln3 -> 0to1 | Swi5-to-Clb5,6 -> 0to-1",11668,0,11668
151,"MBF-to-Cln3 -> 0to1 | Cdc2014-to-Clb5,6 -> -1to0",14586,0,14586
152,"MBF-to-Cln3 -> 0to1 | Cdc2014-to-Clb5,6 -> -1to1",15668,0,15668
153,"MBF-to-Cln3 -> 0to1 | Sic1-to-Clb5,6 -> -1to0",11939,0,11939
154,"MBF-to-Cln3 -> 0to1 | Sic1-to-Clb5,6 -> -1to1",107925,0,107925
155,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-Clb5,6 -> 0to1",14630,0,14630
156,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-Clb5,6 -> 0to-1",11788,0,11788
157,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-Clb5,6 -> 0to1",26127,0,26127
158,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-Clb5,6 -> 0to-1",11548,0,11548
159,MBF-to-Cln3 -> 0to1 | Cln3-to-Sic1 -> 0to1,7370,0,7370
160,MBF-to-Cln3 -> 0to1 | Cln3-to-Sic1 -> 0to-1,12394,0,12394
161,MBF-to-Cln3 -> 0to1 | MBF-to-Sic1 -> 0to1,7168,0,7168
162,MBF-to-Cln3 -> 0to1 | MBF-to-Sic1 -> 0to-1,12440,0,12440
163,MBF-to-Cln3 -> 0to1 | SBF-to-Sic1 -> 0to1,7385,0,7385
164,MBF-to-Cln3 -> 0to1 | SBF-to-Sic1 -> 0to-1,12428,0,12428
165,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-Sic1 -> -1to0",7755,0,7755
166,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-Sic1 -> -1to1",7060,0,7060
167,MBF-to-Cln3 -> 0to1 | Cdh1-to-Sic1 -> 0to1,12558,0,12558
168,MBF-to-Cln3 -> 0to1 | Cdh1-to-Sic1 -> 0to-1,13255,0,13255
169,MBF-to-Cln3 -> 0to1 | Swi5-to-Sic1 -> 1to0,15360,0,15360
170,MBF-to-Cln3 -> 0to1 | Swi5-to-Sic1 -> 1to-1,15657,0,15657
171,MBF-to-Cln3 -> 0to1 | Cdc2014-to-Sic1 -> 1to0,15320,0,15320
172,MBF-to-Cln3 -> 0to1 | Cdc2014-to-Sic1 -> 1to-1,15316,0,15316
173,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-Sic1 -> -1to0",12904,0,12904
174,"MBF-to-Cln3 -> 0to1 | Clb5,6-to-Sic1 -> -1to1",111234,0,111234
175,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-Sic1 -> -1to0",12706,0,12706
176,"MBF-to-Cln3 -> 0to1 | Clb1,2-to-Sic1 -> -1to1",111798,0,111798
177,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-Sic1 -> 0to1",12860,0,12860
178,"MBF-to-Cln3 -> 0to1 | Mcm1,SFF-to-Sic1 -> 0to-1",15372,0,15372
179,"MBF-to-Cln3 -> 0to1 | Cln3-to-Clb1,2 -> 0to1",11562,0,11562
180,"MBF-to-Cln3 -> 0to1 | Cln3-to-Clb1,2 -> 0to-1",13169,0,13169
181,"MBF-to-Cln3 -> 0to1 | MBF-to-Clb1,2 -> 0to1",11377,0,11377
182,"MBF-to-Cln3 -> 0to1 | MBF-to-Clb1,2 -> 0to-1",13769,0,13769
183,"MBF-to-Cln3 -> 0to1 | SBF-to-Clb1,2 -> 0to1",11001,0,11001
184,"MBF-to-Cln3 -> 0to1 | SBF-to-Clb1,2 -> 0to-1",13599,0,13599
185,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-Clb1,2 -> 0to1",11054,0,11054
186,"MBF-to-Cln3 -> 0to1 | Cln1,2-to-Clb1,2 -> 0to-1",13269,0,13269
