,Graph Mod Id,Graph Score,G1 Graph Score,Sum Graph Score
113,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-Swi5 -> 0to1",9928,0,9928
114,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-Swi5 -> 0to-1",12505,0,12505
115,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-Swi5 -> -1to0",12517,0,12517
116,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-Swi5 -> -1to1",12605,0,12605
117,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-Swi5 -> 1to0",11260,0,11260
118,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-Swi5 -> 1to-1",11838,0,11838
119,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-Cdc2014 -> 0to1",9276,0,9276
120,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-Cdc2014 -> 0to-1",12249,0,12249
121,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-Cdc2014 -> 0to1",9114,0,9114
122,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-Cdc2014 -> 0to-1",12479,0,12479
123,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Cdc2014 -> 0to1",9313,0,9313
124,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Cdc2014 -> 0to-1",12278,0,12278
125,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-Cdc2014 -> 0to1",9634,0,9634
126,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-Cdc2014 -> 0to-1",12218,0,12218
127,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-Cdc2014 -> 0to1",12101,0,12101
128,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-Cdc2014 -> 0to-1",12377,0,12377
129,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-Cdc2014 -> 0to1",10911,0,10911
130,"First: MBF-to-Cln3 -> 0to1, Second: Swi5-to-Cdc2014 -> 0to-1",12387,0,12387
131,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-Cdc2014 -> 0to1",12523,0,12523
132,"First: MBF-to-Cln3 -> 0to1, Second: Clb5,6-to-Cdc2014 -> 0to-1",12353,0,12353
133,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-Cdc2014 -> 0to1",10977,0,10977
134,"First: MBF-to-Cln3 -> 0to1, Second: Sic1-to-Cdc2014 -> 0to-1",12435,0,12435
135,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-Cdc2014 -> 1to0",12349,0,12349
136,"First: MBF-to-Cln3 -> 0to1, Second: Clb1,2-to-Cdc2014 -> 1to-1",11401,0,11401
137,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-Cdc2014 -> 1to0",12425,0,12425
138,"First: MBF-to-Cln3 -> 0to1, Second: Mcm1,SFF-to-Cdc2014 -> 1to-1",11495,0,11495
139,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-Clb5,6 -> 0to1",12216,0,12216
140,"First: MBF-to-Cln3 -> 0to1, Second: Cln3-to-Clb5,6 -> 0to-1",8056,0,8056
141,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-Clb5,6 -> 1to0",7856,0,7856
142,"First: MBF-to-Cln3 -> 0to1, Second: MBF-to-Clb5,6 -> 1to-1",7760,0,7760
143,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Clb5,6 -> 0to1",11495,0,11495
144,"First: MBF-to-Cln3 -> 0to1, Second: SBF-to-Clb5,6 -> 0to-1",8247,0,8247
145,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-Clb5,6 -> 0to1",11439,0,11439
146,"First: MBF-to-Cln3 -> 0to1, Second: Cln1,2-to-Clb5,6 -> 0to-1",8319,0,8319
147,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-Clb5,6 -> 0to1",12045,0,12045
148,"First: MBF-to-Cln3 -> 0to1, Second: Cdh1-to-Clb5,6 -> 0to-1",12756,0,12756
